UniID,Sex,Age,Area,FaEdu,MoEdu,FaJob,MoJob,Reason,StudyTime,Failures,HigherEdu,Freetime,Friends,DAlc,WAlc,Absences,Result
1,2,18,1,1,1,3,4,3,2,0,1,4,2,1,2,0,12
1,2,21,12,1,2,4,4,2,2,0,2,3,5,1,2,12,10
2,1,21,12,2,4,4,4,1,1,1,1,4,3,4,3,0,0
1,2,21,1,1,2,4,3,2,2,3,2,4,5,1,3,10,8
2,2,20,1,1,1,1,1,4,2,0,1,5,5,1,2,2,11
2,2,18,12,1,1,1,1,3,2,0,1,2,1,1,2,0,14
1,2,21,1,4,4,4,2,1,2,0,1,2,4,1,1,0,15
2,2,19,1,4,4,2,2,3,2,0,1,3,4,1,2,4,8
1,1,18,1,2,4,2,2,4,1,0,1,5,5,3,4,4,9
2,2,19,12,1,1,4,4,1,4,0,1,3,2,1,1,0,13
1,1,20,1,1,3,4,3,4,2,0,1,4,4,3,4,0,14
1,2,20,1,2,2,4,4,3,2,0,1,4,5,1,2,12,14
1,2,19,1,3,3,4,4,2,2,0,1,4,5,1,1,0,15
1,1,21,1,2,2,1,4,3,1,1,2,4,3,2,2,26,8
1,2,20,1,1,1,1,3,2,3,0,1,3,3,1,1,0,14
1,1,19,12,3,3,3,3,2,1,0,1,3,2,3,4,0,10
2,2,21,1,3,3,4,4,1,2,0,1,1,3,1,2,1,16
2,1,18,12,1,1,4,4,3,2,0,1,4,5,2,4,8,9
1,1,20,1,3,2,3,3,2,2,0,1,3,3,1,3,0,11
2,2,19,1,2,2,4,1,2,4,0,2,2,1,1,1,4,11
1,2,20,12,2,2,4,4,2,1,0,1,3,2,1,2,21,13
2,1,21,1,4,4,1,1,1,2,0,1,2,4,1,4,4,19
1,1,19,12,3,3,4,1,1,1,0,1,3,4,3,5,16,12
1,2,18,1,1,1,4,4,1,2,0,1,3,2,2,3,2,12
1,2,18,1,2,4,4,4,2,3,0,1,3,3,1,3,4,15
2,2,19,12,2,2,4,4,3,2,0,1,4,5,1,1,4,11
1,2,19,1,2,2,4,4,1,2,0,1,4,4,1,1,0,11
1,2,18,12,4,3,2,3,3,3,0,1,3,2,1,1,2,12
1,1,18,1,2,2,4,4,1,3,0,1,5,2,1,1,0,15
1,2,20,1,2,2,1,1,3,3,0,1,3,3,1,1,0,13
2,1,21,12,2,3,4,3,3,1,1,2,3,1,2,2,0,0
1,2,20,1,1,2,4,4,3,1,0,1,2,2,1,2,8,11
2,1,21,1,1,1,1,1,3,2,0,1,3,3,1,4,6,10
1,1,19,12,3,4,4,3,2,1,0,1,3,3,1,1,6,11
1,1,18,1,4,3,4,4,1,2,0,1,5,1,1,1,0,13
1,1,19,1,1,2,4,1,3,1,1,1,4,4,3,5,6,10
1,1,20,1,4,4,1,3,1,1,0,1,2,3,1,2,4,14
1,1,18,12,4,3,1,1,3,2,0,1,3,3,1,1,2,11
1,2,19,1,3,4,2,1,1,3,0,1,4,4,2,4,0,13
2,1,20,1,4,4,3,4,1,3,0,1,4,3,1,2,0,16
1,1,20,12,2,2,3,4,4,1,0,2,2,2,1,1,0,10
1,2,18,1,4,4,1,3,3,3,0,1,3,3,1,1,4,15
2,1,21,1,2,1,3,1,1,1,0,1,1,4,5,5,8,11
1,1,21,1,2,2,4,4,1,2,3,1,3,3,5,5,9,10
2,2,20,1,2,1,4,1,3,1,0,1,5,1,1,1,0,10
1,2,20,1,3,3,4,2,2,2,0,1,3,3,1,3,10,14
1,2,20,12,4,2,4,1,3,3,0,1,4,3,1,1,0,15
2,2,21,1,4,4,1,1,2,2,0,1,3,5,1,2,0,18
1,1,20,1,4,4,4,3,1,2,0,1,3,5,4,5,15,12
1,2,18,12,1,3,4,4,2,4,0,1,4,2,2,3,6,15
1,2,20,1,2,4,4,1,3,2,0,1,3,2,1,1,4,14
1,2,20,1,2,2,4,4,3,2,0,1,2,2,1,1,4,13
2,1,20,12,3,1,4,4,3,1,0,1,1,2,3,3,2,12
1,2,19,1,3,3,4,4,1,3,0,1,3,3,1,3,2,11
2,2,20,12,2,2,4,4,2,2,0,1,3,2,1,1,0,17
1,1,19,1,1,3,4,4,2,1,0,1,3,2,2,2,0,14
2,2,20,12,1,3,1,4,3,3,0,2,2,3,2,2,5,8
1,2,19,12,4,4,1,2,4,2,0,1,4,4,2,3,0,16
1,1,20,1,1,1,4,2,3,1,1,1,4,4,1,2,0,10
2,2,19,12,2,2,4,1,3,2,1,1,4,4,2,3,2,12
1,2,21,1,1,1,1,4,1,3,0,1,4,3,2,3,4,14
1,2,21,1,1,2,4,4,1,2,0,1,2,5,1,2,8,15
1,2,21,1,3,3,3,3,1,2,0,1,3,4,1,1,8,12
1,1,20,1,1,4,4,3,1,1,0,1,5,4,2,4,22,10
1,2,20,1,2,2,4,4,1,1,1,2,1,2,1,1,8,10
2,1,19,1,1,2,3,1,3,1,0,1,4,3,2,3,4,10
1,1,18,1,3,4,3,1,3,4,0,1,2,2,1,1,6,11
1,2,20,1,1,1,4,1,2,3,0,1,3,4,1,1,12,12
2,2,19,12,1,1,4,1,3,2,3,1,4,3,1,1,0,8
1,2,19,1,4,2,2,4,3,2,0,1,2,2,1,2,2,13
1,2,18,1,2,3,4,3,2,2,0,1,4,4,1,1,4,11
1,2,19,12,3,3,4,3,2,3,0,1,1,2,1,1,4,11
2,1,20,12,3,4,4,3,1,2,1,1,5,5,1,3,4,11
1,2,21,1,3,4,4,3,1,2,0,1,1,2,1,3,2,15
1,2,20,1,2,4,3,1,2,4,0,1,2,3,1,1,2,17
1,2,21,1,2,4,4,1,3,2,0,1,2,2,1,1,0,17
2,1,18,12,1,4,3,2,2,2,0,1,3,4,1,2,0,14
2,2,19,12,2,2,4,4,1,1,0,1,3,2,1,1,0,16
1,1,20,1,3,3,4,4,2,2,0,1,3,4,1,4,4,10
2,2,19,12,2,1,4,1,3,2,0,2,4,5,1,3,0,9
1,2,21,1,2,2,4,3,2,2,0,1,1,4,1,3,10,17
1,2,20,1,2,2,1,1,1,2,0,1,3,1,1,2,18,14
1,2,20,1,4,3,3,1,1,3,1,1,4,3,3,4,14,8
2,2,21,12,2,2,4,3,1,3,0,1,2,1,1,1,5,15
1,1,19,1,2,2,4,3,2,2,0,1,4,2,1,1,6,11
2,1,19,12,2,1,4,4,3,2,0,1,3,3,1,1,0,11
1,2,18,1,1,1,4,1,3,1,0,1,3,3,1,2,6,13
1,2,19,1,4,3,4,1,3,2,0,1,4,3,1,2,14,11
1,2,21,1,2,2,3,1,3,2,1,1,3,1,1,1,16,10
2,2,18,12,1,1,3,4,3,1,1,1,4,3,1,2,4,8
1,2,20,1,4,4,3,1,3,2,0,1,3,1,1,4,2,12
1,2,19,1,2,2,4,1,3,2,0,1,3,4,1,2,6,11
1,1,18,1,2,2,3,3,1,4,0,1,5,4,1,2,6,13
1,2,18,1,4,4,3,3,3,1,0,1,3,4,2,3,0,12
1,1,18,12,1,2,3,2,2,2,0,1,4,2,1,1,4,10
1,2,21,1,2,3,3,4,4,3,0,1,4,3,2,3,4,17
1,2,20,1,1,1,3,1,3,2,0,1,3,3,1,1,0,12
1,1,18,1,4,4,3,3,2,2,0,1,3,1,1,1,2,15
1,1,19,12,4,4,1,4,2,3,0,1,4,3,1,1,4,13
2,2,20,1,3,3,3,3,3,1,0,1,4,3,1,1,0,13
1,1,18,1,3,3,4,4,3,2,0,1,3,2,1,1,0,12
1,1,20,12,2,2,4,3,3,1,0,1,4,5,5,5,2,10
2,1,20,1,3,3,3,3,1,1,0,1,1,4,5,5,8,9
2,2,18,12,3,3,4,1,3,1,0,1,4,4,2,3,4,11
1,2,20,12,2,2,3,3,3,3,0,1,3,2,2,2,0,10
1,1,19,1,2,2,4,4,1,2,0,1,4,4,1,1,0,13
2,2,19,1,1,1,4,1,3,2,0,1,4,3,2,1,0,15
2,2,21,1,2,1,1,1,3,2,0,2,1,1,1,1,0,12
2,1,19,12,1,1,4,1,3,1,0,1,5,5,2,4,0,9
1,2,20,1,1,3,1,4,1,1,1,1,1,2,1,1,6,13
2,2,19,1,2,3,1,3,3,2,2,1,5,5,1,1,8,7
1,1,19,1,4,4,3,3,4,1,0,1,5,5,5,5,12,8
1,2,18,12,3,3,3,3,2,3,0,1,2,1,2,3,2,13
1,1,19,12,1,2,4,4,3,1,0,1,3,2,1,3,2,12
1,1,19,1,3,3,3,4,1,1,0,1,4,2,1,1,6,15
1,2,21,1,3,4,4,4,2,4,0,1,3,3,1,1,0,17
1,2,18,12,2,2,4,1,2,1,0,1,3,1,1,1,8,12
1,1,21,1,2,1,4,1,1,1,0,2,4,4,2,4,10,11
1,2,19,1,3,1,3,1,1,2,0,1,3,5,1,1,0,13
2,1,21,12,3,1,4,1,3,2,0,1,3,4,2,4,0,9
2,2,18,1,2,2,3,4,3,3,0,1,3,2,1,1,0,14
2,2,18,12,1,1,3,1,4,1,1,1,1,3,1,1,6,10
1,2,19,1,1,2,4,4,3,2,0,1,3,5,1,1,0,12
1,2,20,1,3,2,4,1,1,1,0,1,3,3,1,4,4,13
2,1,18,1,1,2,3,3,3,1,0,1,3,3,1,2,11,12
2,1,19,12,2,2,3,3,3,1,0,1,4,3,2,4,6,8
2,1,20,12,1,1,3,4,3,1,0,1,5,5,1,3,0,10
1,1,21,1,1,2,4,3,3,2,1,2,4,5,4,4,4,11
1,1,19,1,2,2,4,4,2,2,0,1,4,4,2,4,2,10
2,2,20,12,2,1,3,4,3,2,0,1,2,2,1,2,0,13
1,1,19,1,4,4,1,1,1,2,0,1,4,5,5,5,4,12
2,1,19,1,2,2,3,4,3,2,0,1,1,2,2,2,0,13
1,1,20,12,2,1,4,4,2,1,3,1,2,2,3,3,14,10
1,1,19,1,2,2,3,3,2,1,0,1,3,3,2,2,4,11
1,1,18,1,4,4,2,1,2,2,0,1,2,2,1,1,8,16
1,2,21,1,4,4,1,1,3,2,0,1,3,4,1,1,4,11
1,1,19,1,4,4,3,3,3,1,0,1,3,2,1,2,4,15
1,1,21,12,2,3,4,3,2,3,0,1,4,2,1,1,0,15
1,1,19,1,3,4,4,1,1,2,0,1,4,3,2,3,4,11
1,2,19,1,3,4,3,1,3,2,0,1,4,3,1,2,2,16
1,1,21,12,3,2,3,4,2,1,0,1,1,3,4,5,13,14
1,1,20,12,1,2,4,1,3,1,1,2,3,2,2,2,8,9
1,1,20,1,3,4,4,4,3,2,0,1,2,3,1,1,4,13
1,1,21,1,2,3,4,3,3,1,0,2,4,5,2,4,8,7
1,2,20,1,1,3,3,3,3,3,0,1,4,3,2,3,0,17
1,2,18,12,1,1,4,1,1,4,0,1,1,2,1,1,4,13
2,1,20,1,2,2,4,4,3,1,1,1,2,1,2,3,0,0
1,2,19,1,1,1,1,1,3,1,0,1,4,4,3,3,4,11
1,2,21,1,2,3,4,1,2,3,0,1,3,4,1,2,5,17
2,2,20,12,4,4,3,1,4,2,0,1,3,3,1,2,2,12
1,1,20,12,2,3,4,4,3,2,2,1,4,4,1,4,4,8
1,1,19,1,4,4,4,2,2,2,0,1,2,4,2,4,0,14
1,1,19,1,3,3,4,3,1,3,0,1,3,3,1,1,4,14
2,1,18,12,3,1,4,1,2,1,0,1,2,4,3,5,2,11
1,2,20,1,1,1,4,4,3,2,0,1,4,4,1,3,0,15
1,2,20,12,1,3,4,3,2,4,0,1,1,2,1,1,0,19
1,1,21,1,3,4,4,1,3,2,0,1,3,2,1,1,2,11
1,2,18,12,2,2,3,2,2,2,0,1,1,3,1,3,0,11
1,2,21,1,1,1,4,4,1,3,0,1,5,5,1,2,0,14
1,2,18,12,1,1,4,4,2,2,0,1,3,4,2,4,2,11
2,1,21,12,2,1,3,1,4,1,0,2,3,3,2,3,3,10
2,2,19,1,4,4,3,1,3,3,0,1,3,5,1,4,1,12
1,1,18,1,3,4,4,1,2,2,0,1,4,1,1,1,0,14
1,2,20,1,1,1,1,1,3,3,0,1,3,2,1,2,10,10
1,1,20,1,3,4,4,2,3,2,0,1,5,5,1,4,8,15
2,2,20,12,2,3,4,1,3,2,1,1,5,4,1,2,0,10
1,2,20,1,4,2,3,3,2,2,0,1,4,2,2,3,0,17
2,2,20,12,1,1,1,1,3,1,0,2,5,5,2,2,3,10
1,1,18,1,4,4,3,2,1,2,0,1,4,2,3,4,0,11
2,1,18,12,1,4,3,2,2,2,0,1,3,4,1,2,7,8
2,1,20,1,1,3,3,3,3,1,0,1,4,5,3,4,6,10
1,2,19,1,2,1,4,4,3,1,0,2,3,5,1,2,4,11
2,2,21,1,1,1,4,4,3,2,0,1,1,1,1,1,6,9
2,1,19,12,1,2,3,4,2,2,0,1,2,1,1,1,0,0
1,1,19,1,3,2,4,4,1,1,0,1,3,3,1,1,0,12
2,2,19,1,1,2,3,4,3,2,0,1,3,3,1,1,0,14
1,2,19,1,3,2,4,4,2,2,0,1,4,3,1,3,4,12
2,2,19,12,4,4,1,1,3,3,0,1,2,2,1,1,6,17
2,2,20,12,1,2,4,1,3,1,0,2,5,3,1,1,2,11
1,2,20,1,4,2,3,3,3,2,0,1,3,2,1,1,8,16
1,1,20,12,2,1,4,1,1,2,0,1,1,3,1,5,6,10
1,2,19,12,2,2,3,3,2,4,0,1,3,5,1,1,6,13
2,2,19,12,4,4,1,2,2,2,0,1,3,3,2,3,0,16
1,2,19,1,1,4,4,4,1,2,0,1,3,3,1,2,0,13
1,1,20,1,4,4,4,2,2,3,0,1,4,2,1,2,2,15
